frame,timestamp,pupil_center_x,pupil_center_y,gaze_side
0,0.0,244,144,0
1,0.034482758620689655,245,143,0
2,0.06896551724137931,246,143,0
3,0.10344827586206896,246,144,0
4,0.13793103448275862,245,143,0
5,0.1724137931034483,245,142,0
6,0.20689655172413793,244,141,0
7,0.2413793103448276,243,140,0
8,0.27586206896551724,244,138,0
9,0.3103448275862069,245,136,0
10,0.3448275862068966,244,135,0
11,0.3793103448275862,242,135,0
12,0.41379310344827586,241,134,0
13,0.4482758620689655,240,133,0
14,0.4827586206896552,240,133,0
15,0.5172413793103449,240,132,0
16,0.5517241379310345,240,132,0
17,0.5862068965517241,240,131,0
18,0.6206896551724138,240,131,0
19,0.6551724137931034,240,130,0
20,0.6896551724137931,239,130,0
21,0.7241379310344828,239,131,0
22,0.7586206896551724,238,130,0
23,0.7931034482758621,238,130,0
24,0.8275862068965517,241,129,0
25,0.8620689655172413,243,129,0
26,0.896551724137931,243,129,0
27,0.9310344827586207,243,128,0
28,0.9655172413793104,243,127,0
29,1.0,235,128,0
30,1.0344827586206897,216,133,-1
31,1.0689655172413792,181,134,-1
32,1.103448275862069,171,137,-1
33,1.1379310344827587,164,143,-1
34,1.1724137931034482,132,129,-1
35,1.206896551724138,130,129,-1
36,1.2413793103448276,155,145,-1
37,1.2758620689655173,152,144,-1
38,1.3103448275862069,151,142,-1
39,1.3448275862068966,150,140,-1
40,1.3793103448275863,149,139,-1
41,1.4137931034482758,147,138,-1
42,1.4482758620689655,145,137,-1
43,1.4827586206896552,142,128,-1
44,1.5172413793103448,138,124,-1
45,1.5517241379310345,135,123,-1
46,1.5862068965517242,132,122,-1
47,1.6206896551724137,130,122,-1
48,1.6551724137931034,127,121,-1
49,1.6896551724137931,125,121,-1
50,1.7241379310344827,124,121,-1
51,1.7586206896551724,122,120,-1
52,1.793103448275862,122,119,-1
53,1.8275862068965518,121,119,-1
54,1.8620689655172413,415,71,1
55,1.896551724137931,186,109,-1
56,1.9310344827586208,200,104,-1
57,1.9655172413793103,201,105,-1
58,2.0,201,105,-1
59,2.0344827586206895,200,106,-1
60,2.0689655172413794,199,107,-1
61,2.103448275862069,200,108,-1
62,2.1379310344827585,201,109,-1
63,2.1724137931034484,200,110,-1
64,2.206896551724138,201,110,-1
65,2.2413793103448274,202,111,-1
66,2.2758620689655173,226,115,0
67,2.310344827586207,252,119,0
68,2.3448275862068964,269,118,1
69,2.3793103448275863,280,121,1
70,2.413793103448276,283,124,1
71,2.4482758620689653,284,125,1
72,2.4827586206896552,286,126,1
73,2.5172413793103448,290,128,1
74,2.5517241379310347,294,129,1
75,2.586206896551724,296,130,1
76,2.6206896551724137,300,130,1
77,2.6551724137931036,304,130,1
78,2.689655172413793,309,132,1
79,2.7241379310344827,311,133,1
80,2.7586206896551726,314,133,1
81,2.793103448275862,318,135,1
82,2.8275862068965516,320,136,1
83,2.8620689655172415,323,137,1
84,2.896551724137931,324,139,1
85,2.9310344827586206,324,140,1
86,2.9655172413793105,325,141,1
87,3.0,328,142,1
88,3.0344827586206895,330,143,1
89,3.0689655172413794,331,143,1
90,3.103448275862069,332,144,1
91,3.1379310344827585,334,144,1
92,3.1724137931034484,302,134,1
93,3.206896551724138,271,130,1
94,3.2413793103448274,266,131,1
95,3.2758620689655173,262,132,0
96,3.310344827586207,262,133,0
97,3.3448275862068964,260,133,0
98,3.3793103448275863,260,134,0
99,3.413793103448276,252,133,0
100,3.4482758620689653,251,134,0
101,3.4827586206896552,249,135,0
102,3.5172413793103448,248,136,0
103,3.5517241379310347,249,137,0
104,3.586206896551724,251,138,0
105,3.6206896551724137,249,130,0
106,3.6551724137931036,251,131,0
107,3.689655172413793,253,131,0
108,3.7241379310344827,254,130,0
109,3.7586206896551726,257,115,0
110,3.793103448275862,260,107,0
111,3.8275862068965516,262,107,0
112,3.8620689655172415,262,109,0
113,3.896551724137931,261,110,0
114,3.9310344827586206,260,111,0
115,3.9655172413793105,259,111,0
116,4.0,262,108,0
117,4.0344827586206895,265,106,1
118,4.068965517241379,264,106,0
119,4.103448275862069,262,107,0
120,4.137931034482759,262,107,0
121,4.172413793103448,262,108,0
122,4.206896551724138,262,109,0
123,4.241379310344827,261,110,0
124,4.275862068965517,261,110,0
125,4.310344827586207,261,111,0
126,4.344827586206897,260,112,0
127,4.379310344827586,259,112,0
128,4.413793103448276,259,112,0
129,4.448275862068965,259,113,0
130,4.482758620689655,257,128,0
131,4.517241379310345,246,148,0
132,4.551724137931035,246,149,0
133,4.586206896551724,247,149,0
134,4.620689655172414,247,150,0
135,4.655172413793103,247,151,0
136,4.689655172413793,248,151,0
137,4.724137931034483,248,152,0
138,4.758620689655173,249,152,0
139,4.793103448275862,248,151,0
140,4.827586206896552,246,151,0
141,4.862068965517241,246,151,0
142,4.896551724137931,245,154,0
143,4.931034482758621,244,178,0
144,4.9655172413793105,242,189,0
145,5.0,236,199,0
146,5.0344827586206895,235,206,0
147,5.068965517241379,238,207,0
148,5.103448275862069,238,206,0
149,5.137931034482759,240,206,0
150,5.172413793103448,241,206,0
151,5.206896551724138,242,206,0
152,5.241379310344827,242,206,0
153,5.275862068965517,242,206,0
154,5.310344827586207,243,207,0
155,5.344827586206897,243,207,0
156,5.379310344827586,242,207,0
157,5.413793103448276,241,207,0
158,5.448275862068965,241,207,0
159,5.482758620689655,247,197,0
160,5.517241379310345,247,197,0
161,5.551724137931035,246,198,0
162,5.586206896551724,246,198,0
163,5.620689655172414,247,198,0
164,5.655172413793103,245,179,0
165,5.689655172413793,242,162,0
166,5.724137931034483,243,155,0
167,5.758620689655173,245,156,0
168,5.793103448275862,246,156,0
169,5.827586206896552,247,156,0
170,5.862068965517241,248,157,0
171,5.896551724137931,248,156,0
172,5.931034482758621,238,152,0
173,5.9655172413793105,233,151,0
